"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CONN_03X22X3_SILK_MALE_PTH";"2X3";"J6, J7";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_07";"1X07";"J8";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"5";"0.1uF";"C-USC0805";"C0805";"C2, C3, C4, C5, C6";"CAPACITOR, American symbol";"";
"1";"10k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";
"1";"10uF";"C-USC0805";"C0805";"C1";"CAPACITOR, American symbol";"";
"1";"15k";"R-US_R0805";"R0805";"R8";"RESISTOR, American symbol";"";
"1";"3.3V";"TPPAD1-13";"P1-13";"TP6";"Test pad";"";
"1";"3V3REG";"3V3REG";"SOT223";"U2";"Diodes Inc. 800mA 3.3V cheap VREG";"";
"6";"4.7k";"R-US_R0805";"R0805";"R1, R2, R3, R4, R5, R6";"RESISTOR, American symbol";"";
"1";"5V";"TPPAD1-13";"P1-13";"TP5";"Test pad";"";
"1";"74AHC1G04DCK";"74AHC1G04DCK";"SC70-5";"IC3";"INVERTER Gate";"";
"2";"74LS165D";"74LS165D";"SO16";"IC1, IC2";"8-bit parallel load SHIFT REGISTER";"";
"1";"Antenna SPI";"CONN_05LOCK";"1X05_LOCK";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"Boom Cam RPi";"CONN_05LOCK";"1X05_LOCK";"J11";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"GND";"TPPAD1-13";"P1-13";"TP4";"Test pad";"";
"3";"GND-MERGER";"GND-MERGER";"GND-MERGER";"U$1, U$2, U$3";"";"";
"10";"JUMPER-SMT_3_NO_NO-SILK";"JUMPER-SMT_3_NO_NO-SILK";"SMT-JUMPER_3_NO_NO-SILK";"PWR-SEL, SCL-SEL0, SCL-SEL1, SCL-SEL2, SCL-SEL3, SDA-SEL0, SDA-SEL1, SDA-SEL2, SDA-SEL3, UART-INV-SEL";"Normally open jumper";"";
"1";"MAX3232";"MAX2323SOIC16";"SO16";"U1";"RS232 Transceiver";"";
"5";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4, H5";"MOUNTING HOLE with drill center marker";"";
"1";"Magnet RPi";"CONN_05LOCK";"1X05_LOCK";"J10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"Pwr-Conn";"MICRO-D25";"MICRO-D25-RA";"J2";"Molex Micro-D25 pin connector, right angle, board mount";"";
"1";"RS-Interface";"MICRO-D25";"MICRO-D25-RA";"J1";"Molex Micro-D25 pin connector, right angle, board mount";"";
"1";"STROBE";"TPPAD1-13";"P1-13";"TP7";"Test pad";"";
"1";"Static RPi";"CONN_05LOCK";"1X05_LOCK";"J9";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"TEENSY-4.0-MORENOSILK";"TEENSY-4.0-MORENOSILK";"TEENSY-4.0_NOSILK";"B1";"Teensy 4.0 Footprint";"";
"16";"TPPAD1-13";"TPPAD1-13";"P1-13";"TP1, TP2, TP3, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20";"Test pad";"";
