"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"BUK9880-55A";"SOT223";"Q1, Q2";"";"";
"2";"";"CONN_02";"1X02";"J3, J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_02LOCK_LONGPADS";"1X02_LOCK_LONGPADS";"GND";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_03";"1X03";"J6";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"3";"";"CONN_04LOCK";"1X04_LOCK";"J7, J8, J9";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"";"CONN_05";"1X05";"STEPPER";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"2";"";"JUMPER-SMT_3_NO_NO_SILK";"SMT-JUMPER_3_0-NO_TRACE_NO-SILK";"JP1, JP2";"Normally open jumper";"";
"2";"";"LED-GREEN1206";"LED-1206";"D1, D3";"Green SMD LED";"";
"3";"0.1uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C2, C3, C4";"2.2µF ceramic capacitors";"";
"1";"10k";"RESISTOR0805";"0805";"R1";"Generic Resistor Package";"";
"1";"10uF";"10UF-0805-10V-10%";"0805";"C1";"10.0µF ceramic capacitors";"";
"1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"Y1";"16MHz Resonator";"";
"2";"1kΩ";"RESISTOR0805";"0805";"R2, R3";"Generic Resistor Package";"";
"1";"ATMEGA328P";"ATMEGA328P_TQFP";"TQFP32-08";"U1";"Popular 328P in QFP";"";
"1";"FEMALE 2x3";"CONN_03X2FEMALE";"2X3";"J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";
"1";"FTDI";"6_PIN_SERIAL_CABLEPTH";"FTDI_BASIC";"J2";"6-pin header connection for use with the "FTDI BASIC" pinout - CABLE SIDE.";"";
"1";"MOLEX_3PIN";"MOLEX_3PIN";"MOLEX_3PIN";"U$2";"";"";
"1";"MOLEX_4PIN";"MOLEX_4PIN";"MOLEX_4PIN";"U$1";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";
"1";"RESET";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST";"";
"2";"S1M";"S1M";"SMA";"D2, D4";"";"";
"1";"Servo";"CONN_03";"1X03";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"ULN2803";"ULN2803SOICW";"SO18L";"IC1";"Darlington Driver(IC-07959, low stock)";"";
