"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CONN_05X2PTH";"2X5";"J7";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"12";"0.01Ω";"R-US_R1206";"R1206";"R7, R8, R9, R10, R13, R14, R15, R16, R17, R18, R20, R21";"RESISTOR, American symbol";"";
"5";"0.1uF";"C-USC0805";"C0805";"C6, C7, C10, C12, C14";"CAPACITOR, American symbol";"";
"1";"1.2k";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"";
"1";"100k";"4816P-T01-104LF";"SO16L";"RN1";"SOIC16L(300mils) 8 individual 100k resistors package.";"";
"1";"100kΩ";"4816P-T01-104LF";"SO16L";"RN4";"SOIC16L(300mils) 8 individual 100k resistors package.";"";
"2";"100Ω";"4816P-T01-101LF";"SO16L";"RN2, RN3";"SOIC16L(300mils) 8 individual 100 ohm resistor package.";"";
"5";"10uF";"C-USC0805";"C0805";"C2, C5, C9, C11, C13";"CAPACITOR, American symbol";"";
"4";"10uF";"C-USC1206";"C1206";"C1, C3, C4, C8";"CAPACITOR, American symbol";"";
"1";"182-025-213R531";"182-025-213R531";"182-025-213R531";"J9";"CONN D-SUB RCPT 25POS R/A SOLDER";"";
"1";"182-037-213R531";"182-037-213R531";"182-037-213R531";"J8";"CONN D-SUB RCPT 37POS R/A SOLDER";"";
"3";"330";"R-US_R0805";"R0805";"R11, R12, R22";"RESISTOR, American symbol";"";
"1";"3V3REG";"3V3REG";"SOT223";"U5";"Diodes Inc. 800mA 3.3V cheap VREG";"";
"2";"CD4051B_ALT";"CD4051B_ALT";"SOIC16N";"U$18, U$19";"CD4051BM 8-1 Mux/Demux in SOIC16 Package.";"";
"1";"D15S24A4GV00LF";"D15S24A4GV00LF";"D15S24A4GV00LF";"J1";"CONN D-SUB RCPT 15POS VERT SLDR";"";
"6";"DNP";"R-US_R0805";"R0805";"R1, R2, R3, R4, R5, R6";"RESISTOR, American symbol";"";
"4";"FLAT_LED";"FLAT_LED";"FLAT_LED";"U$9, U$10, U$17, U$20";"";"";
"3";"INA4180-SPLIT";"INA4180-SPLIT";"TSSOP14";"U6, U7, U9";"INA 4180 Current Sense amplifier (TSSOP14 package)";"";
"6";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4, H5, H6";"MOUNTING HOLE with drill center marker";"";
"12";"PMOSFET";"PMOSFET";"DPAK";"U$1, U$4, U$5, U$6, U$7, U$8, U$13, U$14, U$15, U$16, U$22, U$23";"";"";
"1";"PYB20-Q24-S5";"PYB20-Q24-S5";"CONV_PYB20-Q24-S5";"U2";"12/-12 Vdc, 0.83 A, 20 W, 9~36 Vdc Input Range";"";
"1";"PYB30-Q48-S12";"PYB30-Q48-S12";"CONV_PYB30-Q48-S12";"U4";"12/-12 Vdc, 1.25 A, 30 W, 9~36 Vdc Input Range";"";
"1";"PYB30-Q48-S5";"PYB30-Q48-S5";"CONV_PYB30-Q48-S5";"U3";"12/-12 Vdc, 1.25 A, 30 W, 9~36 Vdc Input Range";"";
"12";"S1M";"S1M";"SMA";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12";"";"";
"1";"TEENSY-4.0SILK";"TEENSY-4.0SILK";"TEENSY-4.0";"U8";"Teensy 4.0 Footprint";"";
"3";"TPTP15R";"TPTP15R";"TP15R";"TP_5V-ACT_CTRL, TP_5V-DIG_CTRL, TP_12V_CTRL";"Test pad";"";
"1";"VX7805-500";"VX7805-500";"VX78012-500_VX7805-500";"U1";"";"";
